objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
2017-0270;Design Museum Gent;strijkijzerproductverpakking;Jet Spray 80 SType 578;"Stoomstrijkijzer met wit gesloten handvat en zwarte details, Het toestel beschikt over een regelbare thermostaat, vier verstelbare strijkmogelijkheden, een doorzichtig waterreservoir en een sproeiopening. Het stoffen snoer met visgraatpatroon in bruin en wit heeft een regelbare snoeruitgang voor links- en rechtshandigen. De vier strijkprogramma's waren droogstrijken, stoomstrijken en droog- of stoomstrijken met super pressing. De originele productverpakking met foto's en gebruiksaanwijzingen is aanwezig.
Nova kocht een deel van de apparaten aan bij andere bedrijven en verkocht deze onder het Nova-merk (te herkennen aan het typenummer dat begint met 5). Vanaf begin jaren 1970 ontwikkelde en produceerde Nova zelf geen strijkijzers meer, maar kocht deze in bij andere producenten.";1979;"";Nova;uitvoerder;Tongeren
2017-0271;Design Museum Gent;strijkijzer;Vapomatic type 8712;Stoomstrijkijzer met zwart gesloten handvat, acht verstelbare standen en een sproeikop vooraan. Het snoer heeft een zwart en wit stippelpatroon. Dit is het eerste stoomstrijkijzer met sproeiknop van Nova, een techniek die in Amerika al sinds de jaren 1950 toegepast werd. Dit strijkijzer bestond ook zonder watersproeier (type 8702).;1972;"";Nova;uitvoerder;Tongeren
2017-0272;Design Museum Gent;strijkijzerproductverpakking;Super Jet 71Type 533;"Stoomstrijkijzer met wit gesloten handvat en oranje knoppen van Nova. Het toestel beschikt over een doorzichtig waterreservoir, verstelbare standen en regelbare thermostaat. Dit strijkijzer heeft een zelfreinigend systeem en een kunststof snoer. De productverpakking, gebruiksaanwijzing en garantiebewijs zijn tevens aanwezig.
Nova kocht een deel van de apparaten aan bij andere bedrijven en verkocht deze onder het Nova-merk (te herkennen aan het typenummer dat begint met 5). Vanaf begin jaren 1970 ontwikkelde en produceerde Nova zelf geen strijkijzers meer, maar kocht deze in bij andere producenten.";1975;"";Nova;uitvoerder;Tongeren
2017-0273;Design Museum Gent;strijkijzerproductverpakking;Jet Spray 80Type 579;"Stoomstrijkijzer met oranje en wit gesloten handvat. Het toestel heeft een regelbare thermostaat, een draaischakelaar met verstelbare standen en een doorzichtig waterreservoir met bijhorend kannetje. Het stoffen snoer heeft een visgraatpatroon in zwart en wit met regelbare snoeruitgang voor links- en rechtshandigen. Het strijkijzer kan zowel droog- als stoomstrijken en heeft een watersproeier vooraan. De productverpakking met foto's en gebruiksaanwijzing is aanwezig. Dit toestel bestond ook in wit en zwart. 
Nova kocht een deel van de apparaten aan bij andere bedrijven en verkocht deze onder het Nova-merk (te herkennen aan het typenummer dat begint met 5). Vanaf begin jaren 1970 ontwikkelde en produceerde Nova zelf geen strijkijzers meer, maar kocht deze in bij andere producenten. Waar Nova deze apparaten en/of onderdelen inkocht is niet geweten.";1979;"";Nova;uitvoerder;Tongeren
2017-0274;Design Museum Gent;strijkijzerproductverpakking;Jet 29Type 534;"Stoomstrijkijzer met wit gesloten handvat en oranje afwerking. Het toestel heeft een duimsteun, een schakelaar voor de verstelbare standen vooraan en een bijhorend oranje waterkannetje. De snoer bestaat uit kunststof. De productverpakking met gebruiksaanwijzing en garantiebewijs is aanwezig.
Nova kocht een deel van de apparaten aan bij andere bedrijven en verkocht deze onder het Nova-merk (te herkennen aan het typenummer dat begint met 5). Vanaf begin jaren 1970 ontwikkelde en produceerde Nova zelf geen strijkijzers meer, maar kocht deze in bij andere producenten.";1975;"";Nova;uitvoerder;Tongeren
2017-0275;Design Museum Gent;strijkijzer;Matic IV;Elektrisch strijkijzer (Type 06) met wit open handvat en oranje lichaam. Het toestel beschikt over een verstelbare draaiknop, een 'isotermic-zool' en een schok-thermostaat.;1980;1985;Nova;producent;Tongeren
2017-0276;Design Museum Gent;wafelijzer;Wafelijzer Nova;Elektrisch wafelijzer met vaste vormen en twee handvaten voor het bakken van een enkele wafel. Het steunonderdeel in bakeliet aan de achterkant maakt het mogelijk om het toestel om te draaien. Op beide bakzijden is een elektrische aansluiting. Het toestel lijkt een latere versie te zijn van het model Unilex, waarbij het toestel kon gedraaid worden over een metalen voet.;1955;1970;Nova;producent;Tongeren
2017-0277;Design Museum Gent;tafelgrill;Grill;Elektrisch grillapparaat in metaal met zwarte bakelieten handvaten en poten. Op beide bakzijden is een elektrische aansluiting.;1950;"";Nova;producent;Tongeren
2017-0278;Design Museum Gent;wafelijzer;Multex 2 type 214;Elektrisch wafelijzer voor dubbele wafels met inox behuizing en bakelieten handvaten en voet. Het toestel heeft bovenaan een regelbare thermostaat en een controlelampje. Het werd geleverd met vier verschillende verwisselbare vormen met antiaanbaklaag. De elektrische aansluiting bevindt zich op de centrale voet. Dit toestel verscheen in wit en metaalkleur.;1983;"";Nova;producent;Tongeren
2017-0280;Design Museum Gent;wafelijzer;Duplex;Elektrisch wafelijzer voor het bakken van dubbele wafels van Nova. Het toestel heeft een belvormig handvat, vier pootjes uit kunststof en vier metalen schroeven op het lichaam om de vormen los te maken. De schroeven zijn gedecoreerd met een 'N'. Op beide bakzijden is aan de zijkant een elektrische aansluiting. Het is niet zeker of Duplex de juiste naam is voor dit model.;1949;"";Nova;producent;Tongeren
2017-0284;Design Museum Gent;wafelijzerproductverpakking;Unilex;Elektrisch wafelijzer voor een enkele wafel van Nova in originele productverpakking. Het toestel heeft één zwart bakelieten handvat en vier bakelieten poten. Op beide bakzijden is een elektrische aansluiting. Het wafelijzer hoort in een reeks toestellen die Nova rond 1950 op de markt bracht bestaande uit de Multex, Unilex, Unex, Dulex en Gaufrex.;1950;1955;Nova;producent;Luik (stad)
2017-0289;Design Museum Gent;tafelgrill;Novagrill Major;Deze elektrische grill, type 3, is voorzien van een controlelampje en een handvat om het rooster te openen waardoor er met de grill open kon gekookt worden. Het toestel is voorzien van een beveiliging tegen oververhitting door middel van een thermostaat met drie standen. De platen hebben een antikleefcoating. Het toestel kon gebruikt worden voor het grillen van groenten, vis of vlees.;1972;"";Nova;uitvoerder;Tongeren
2017-0290;Design Museum Gent;wafelijzer;Wafelijzer met houten handvat;Elektrisch wafelijzer met vaste vormen voor het bakken van dubbele wafels van Nova. Het toestel heeft een houten handvat en vier metalen poten. Op beide bakzijden is een elektrische aansluiting. Het is niet duidelijk of dit toestel ooit op de markt gebracht is, of een prototype is voor een wafelijzer in ontwikkeling.;1945;1955;Nova;producent;Tongeren
2017-0292;Design Museum Gent;wafelijzer;Wafelijzer Magic;"Elektrisch wafelijzer met verwisselbare bakvormen voor het bakken van twee dubbele wafels van Nova. Het toestel heeft afgeronde vormen en wordt geopend met een centraal handvat, dat hier ontbreekt. Op het onderste gedeelte bevinden zich aan de zijkanten bruine handvaten. De bolle vormgeving van dit toestel is uniek binnen de wafelijzers van Nova en binnen zijn tijd. Ook was er maar één elektrische aansluiting, op de onderzijde van het toestel. Voor de verwarming van beide bakzijden zijn deze verbonden met elkaar door de metalen kabel.
In de collectie bevinden zich tevens andere bakvormen die enkel voor dit ijzer geschikt zijn.";1950;"";Nova;producent;Luik (stad)
2017-0293;Design Museum Gent;wafelijzerproductverpakking;Gaufrex 80;Elektrisch wafelijzer uit bakeliet in bruin met oranje accenten in de originele productverpakking van Nova. Het toestel beschikt over verwisselbare vormen, uitneembare anti-aanbakplaten, voorgeregelde thermostaat, een controlelampje en een vast snoer. Hij was leverbaar met 7x6 of 6x10 bakvormen. Dit wafelijzer werd volledig door Nova ontworpen en geproduceerd in de materialen en kleuren van die tijd.;1979;"";Nova;uitvoerder;Tongeren
2017-0296;Design Museum Gent;tafelgrillproductverpakking;Novagrill;Elektrische grill met metalen behuizing en drie grillstanden van Nova in originele productverpakking. Het toestel beschikt over een automatische temperatuurbegrenzer, geïsoleerde zwarte handvaten en vier zwarte pootjes.;1972;"";Nova;uitvoerder;Tongeren
2017-0297;Design Museum Gent;broodrooster;Broodrooster met klapdeurtjes;Elektrische openklapbare broodrooster met vier handvaten van Nova. Het achthoekige onderstel bestaat uit zwarte kunststof. De zijkanten zijn gedecoreerd met een symmetrisch lijnenmotief.;1945;1955;Nova;producent;Luik (stad)
2017-0298;Design Museum Gent;broodrooster;Toast'or;Halfautomatische openklapbare broodrooster uit verchroomd metaal met roodbruine, bakelieten behuizing en onderstel en ingebouwde schakelaar van Nova, type B1. Het toestel werd geselecteerd door het Brussels Design Centre, dat tussen 1965 en 1985 het Belgisch industrieel design promootte.;1960;1970;Nova;uitvoerder;Tongeren
2017-0299;Design Museum Gent;broodrooster;Toast'or;Halfautomatische openklapbare broodrooster uit verchroomd metaal met zwarte, bakelieten behuizing en onderstel en ingebouwde schakelaar van Nova, type B1. Het toestel werd geselecteerd door het Brussels Design Centre, dat tussen 1965 en 1985 het Belgisch industrieel design promootte.;1960;1970;Nova;uitvoerder;Tongeren
2017-0302;Design Museum Gent;frituurpan;Frit'star 3;Elektrische, gele frietketel met wit onderstel en handgreep van Nova, type 86. Het toestel beschikt over een regelbare thermostaat en een aluminium ketel.;1971;"";Nova;uitvoerder;Tongeren
2017-0303;Design Museum Gent;frituurpan;Fritex 4;Elektrische, gele frietketel met wit onderstel en handgreep van Nova. Het toestel beschikt over een regelbare thermostaat, een aluminium ketel en 'lift-korf'.;1976;"";Nova;uitvoerder;Tongeren
2017-0305;Design Museum Gent;frituurpan;Frit'star 2;Elektrische, witte frietketel met zwart, bakelieten onderstel en handgreep van Nova. Het toestel beschikt over een regelbare thermostaat, een aluminium ketel en 'lift-korf'. Op het toestel is voor verschillende gerechten de af te stellen temperatuur weergegeven.;1972;"";Nova;uitvoerder;Tongeren
2017-0306;Design Museum Gent;frituurpan;Fritex I;Elektrische frietketel in metaal met zwart, bakelieten onderstel en handgreep van Nova. Het toestel beschikt over een regelbare thermostaat waarbij de verschillende gerechten zijn weergegeven. Dit was de eerste frietketel die Nova op de markt bracht.;1957;"";Nova;producent;Tongeren
2017-0307;Design Museum Gent;frituurpanproductverpakking;Fritex de luxe 2;"Anti-reuk frituurpan met permanente en afwasbare filter, type 251 van Nova. Het toestel beschikt over een multifunctionele handgreep om de mand onder te dompelen, op te halen en de schudden zonder het deksel te openen. Het kijkvenster met verlichting wordt gebruikt om de inhoud te controleren tijdens het bakken. Dit zorgt voor dubbele veiligheid. 
Dit gaat om een opengesneden toestel waardoor de doorsnede van de frietketel zichtbaar is. Dit toestel werd gebruikt als toonmodel of maquette.";1985;"";Nova;producent;Tongeren
2017-0308;Design Museum Gent;yoghurtketel;Yoghourt-maker;De ronde, volautomatische yoghurtbereider, type 552, is geschikt voor het bereiden van twee liter yoghurt. Het toestel heeft een gele kunststof onderzijde en een doorzichtig kunststof deksel. De negen yoghurtpotjes bestaan uit glas met een wit kunststof deksel. Nova kocht een deel van de apparaten aan bij andere bedrijven en verkocht deze onder het Nova-merk, waaronder de yoghurtmakers. Ze zijn te herkennen aan het typenummer dat begint met 5.;1979;"";Nova;uitvoerder;Tongeren
2017-0309;Design Museum Gent;yoghurtketel;Blauwe yoghurtmaker;"Langwerpige, volautomatische yoghurtbereider met een witte kunststof onderzijde en blauw kunststof deksel van Nova. De vijf potjes zijn uitgevoerd in wit melkglas, zonder dekseltjes. Bovenaan het blauwe deksel is een draaischakelaar.
Nova kocht een deel van de apparaten aan bij andere bedrijven en verkocht deze onder het Nova-merk (te herkennen aan het typenummer dat begint met 5), waaronder ook de yoghurtmakers.";1985;1990;Nova;producent;Tongeren
2017-0311;Design Museum Gent;fornuis;Groen metalen fornuis;Elektrische kookplaat op een lichtgroene metalen onderstel met temperatuurregelaar in vier standen.;1950;"";Nova;producent;Tongeren
2017-0312;Design Museum Gent;pan;Type 74;Elektrische steelpan op drie poten met rood deksel van Nova. Het toestel kan rechtstreeks op elektriciteit worden aangesloten en moet dus niet zoals een gewone bakpan op het fornuis geplaatst worden. Dit toestel past in het concept 'fun cooking ' dat in de jaren 1970 zijn intrede deed in de Vlaamse huiskamers. Koken moest niet alleen in de keuken gebeuren, maar kon ook aan tafel. Dit toestel is tevens de voorloper van het elektrische fondue-toestel, ontwikkeld door Nova.;1970;1980;Nova;uitvoerder;Tongeren
2017-0314_0-5;Design Museum Gent;massageapparaathulpstukproductverpakking;77I;Het lichtblauwe massageapparaat van Nova werd geleverd met drie hulpstukken: een trilplaat met punten (oppervlaktebehandeling van het hele lichaam), met noppen (behandeling van cellulitis) en met een borstel (bevordering van de bloedsomloop). Het toestel kon aan- en uitgezet worden door middel van een knop vooraan. In de jaren 1960 kregen gezondheid, welzijn en uiterlijke schoonheid meer en meer aandacht. Een slanke taille, lange benen en een weelderige boezem werden in tijdschriften en reclames als schoonheidsideaal voor de vrouw naar voren geschoven. Er verschenen nieuwe producten en toestellen voor lichaamsverzorging, waaronder massageapparaten. Hoewel de verpakking van dit apparaat met de voorstelling van een gracieuze ballerina zich duidelijk richt op vrouwen, verwijst de gebruiksaanwijzing ook naar de atletische look bij mannen.;1972;"";Nova;uitvoerder;Tongeren
2017-0314_1-5;Design Museum Gent;massageapparaat;77I;Het lichtblauwe massageapparaat van Nova werd geleverd met drie hulpstukken: een trilplaat met punten (oppervlaktebehandeling van het hele lichaam), met noppen (behandeling van cellulitis) en met een borstel (bevordering van de bloedsomloop). Het toestel kon aan- en uitgezet worden door middel van een knop vooraan. In de jaren 1960 kregen gezondheid, welzijn en uiterlijke schoonheid meer en meer aandacht. Een slanke taille, lange benen en een weelderige boezem werden in tijdschriften en reclames als schoonheidsideaal voor de vrouw naar voren geschoven. Er verschenen nieuwe producten en toestellen voor lichaamsverzorging, waaronder massageapparaten.;1972;"";Nova;uitvoerder;Tongeren
2017-0315;Design Museum Gent;scheerapparaat;Novashave 2Type 795;Wit elektrisch scheerapparaat met vier scheerkoppen.;1972;"";Nova;uitvoerder;Tongeren
2017-0317;Design Museum Gent;kook- en verhittingsapparaatproductverpakking;Babysitter;Deze elektrische flessenwarmer, type 531, is geschikt voor het opwarmen van babyvoeding en warme dranken. Het toestel heeft een regelbare thermostaat (tot 90°C) en een controlelampje. Op de kunststof behuizing is een decoratieve rode bloem gekleefd. Op de kartonnen verpakking is de flessenwarmer met een andere bloem afgebeeld. Nova kocht een deel van het apparaten aan bij andere bedrijven en verkocht deze onder het Nova-merk. Die producten zijn te herkennen aan het typenummer dat begint met 5. Deze flessenwarmer werd dus niet bij Nova zelf ontwikkeld en geproduceerd.;1970;1979;Nova;uitvoerder;Tongeren
2017-0319;Design Museum Gent;waterkokerproductverpakking;Elektrische waterketel;De elektrische waterkoker heeft een veiligheidsthermostaat en schakelt zichzelf automatisch uit bij algehele verdamping. Hij heeft een inhoud van twee liter. De waterkoker verscheen in een versie van één of twee liter. De waterkoker bevindt zich in de originele productverpakking met garantiebewijs.;1972;"";Nova;uitvoerder;Tongeren
2017-0320;Design Museum Gent;warmhoudplaatproductverpakking;Nova Warmhoudplaat;Warmhoudplaat met zwarte handgreep aan de zijkant. De temperatuurselectie wordt geregeld door de thermostaat. Het toestel is geschikt voor het sudderen en warmhouden van voedsel. Originele productverpakking is aanwezig.;"";"";Nova;producent;Tongeren
2017-0321;Design Museum Gent;wasmachine;Miniwash 2000 GT;De 'Miniwash 2000 GT' is de eerste miniwash die door Nova zelf ontwikkeld en geproduceerd werd. Het is een compacte wasmachine met een capaciteit van twee kilogram. Een miniwash werd gebruikt om een kleinere hoeveelheid kledij (max. twee kg) in een kortere tijdspanne te wassen. Dit toestel dient langs de bovenkant gevuld te worden en kan op verschillende standen worden gezet, van 2 tot 10 minuten. Binnenin bevindt zich een uitneembare kunststof trommel. Bij gebruik diende men de Miniwash in een badkuip of wasbekken te plaatsen en te vullen met water. Het toestel heeft een thermische beveiliging waardoor de motor uitvalt bij oververhitting.;1975;"";Nova;uitvoerder;Tongeren
2017-0322;Design Museum Gent;wasmachine;Miniwash Super 2000;De 'Miniwash Super 2000' is de tweede versie van de Nova miniwash. Het is een compacte wasmachine in wit en oranje met alternerende draaibeweging. Het toestel heeft een spoelsysteem met hevelwerking en een minutenteller regelbaar tot tien minuten. Een miniwash werd gebruikt om een kleinere hoeveelheid kledij (max. twee kg) in een kortere tijdspanne te wassen.;1979;1982;Nova;uitvoerder;Tongeren
2017-0324;Design Museum Gent;wasmachine;Miniwash 1700;Compacte, witte wasmachine met oranje deksel met regelbare minutenteller en snoer. Dit toestel werd aangekocht bij Calor en onder het merk Nova verkocht. Het toestel bleek een populaire wasmachine om kleine hoeveelheden was in een korte tijdsperiode te wassen. Hierop ontwikkelde Nova zijn latere modellen miniwash met trommel, die ze ook zelf produceerden.;1970;1975;CalorNova;uitvoerderuitvoerder;BelgiëTongeren
2017-0325;Design Museum Gent;haardrogerproductverpakking;Hair Hostess 2;Deze elektrische grijze haardroogkap heeft vier standen en is voorzien van een automatische stroomonderbreker. De droogkap kon zowel aan de muur bevestigd worden als op een staander. Het toestel bevindt zich in de originele productverpakking waarop een vrouwengezicht is afgebeeld.;1965;1972;Nova;uitvoerder;Tongeren
2017-0327;Design Museum Gent;haardroger;Groene haardroger;Groene haardroogkap uit kunststof. Het toestel kan ingesteld worden op gewenste hoogte en beschikt over een thermostaat. De haardroger werd aangeprezen als een stabiel en stevig model met afneembaar statief.;1960;1970;Nova;uitvoerder;Tongeren
2017-0328;Design Museum Gent;haardroger;Hair Hostess 3;Haardroogkap uit oranje en witte kunststof met regelbare thermostaat in vijf standen.;1972;1975;Nova;uitvoerder;Tongeren
2017-0330;Design Museum Gent;koffiezetapparaat;Granit 900 C150;"Dit elektrische koffiezettoestel in bruin en wit, type 555, heeft een glazen schenkkan, een kunststof behuizing en een capaciteit van 1,5 liter. Het geheel bestaat uit een ophangfilter met aromakiezer voor middelsterke of sterke koffie, en een druppelstop. De kan staat op een warmhoudplaat en het snoer kan onder het apparaat opgerold worden.
Nova kocht een deel van de apparaten aan bij andere bedrijven en verkocht deze onder het Nova-merk, waaronder ook de koffiezetapparaten. Die producten zijn te herkennen aan het typenummer dat begint met 5.";1979;"";Nova;uitvoerder;Tongeren
2017-0331;Design Museum Gent;mixergardeproductverpakking;Novachef Electronic;Elektrische klopper/mixer in één apparaat met vier hulpstukken: twee kloppers/mengers en twee kneders. De Novachef maakte het mogelijk om voortaan met één toestel te kloppen, te hakken en te mengen. De staafmixer heeft drie snelheden. Het toestel heeft een uitdraaibare metalen mixstaaf en geslepen mes uit roestvrij staal. De Novachef werd in reclames aangeprezen door de Franse chef-kok Raymond Oliver. Sinds 1953 was Oliver bekend bij het grote publiek als kok in het televisiekookprogramma ‘Art et magie de la cuisine’. Vanaf de jaren 1950 maakte hij reclame voor de Novachef en andere producten van Nova. Hij zou tevens inspraak gehad hebben in de technische ontwikkeling van de Novachef. Bij aankoop ontving men een receptenboek van de kok. De mixer zit in de originele productverpakking met de gebruiksaanwijzing en het receptenboekje.;1972;1979;Nova;uitvoerder;Tongeren
2017-0332;Design Museum Gent;mixerproductverpakkingkookboek;Novachef Type FT;Elektrische klopper/staafmixer in één apparaat met zes toebehoren: vier kloppers/mengers en twee kneders. De Novachef maakte het mogelijk om met één toestel te kloppen, te hakken en te mengen. De staafmixer heeft drie snelheden. Het toestel heeft een uitdraaibare metalen mixstaaf en geslepen mes uit roestvrij staal. De Novachef werd in reclames aangeprezen door de Franse chef-kok Raymond Oliver. Sinds 1953 was Oliver bekend bij het grote publiek als kok in het televisiekookprogramma ‘Art et magie de la cuisine’. Vanaf de jaren 1950 maakte hij reclame voor de Novachef en andere producten van Nova. Hij zou tevens inspraak gehad hebben in de technische ontwikkeling van de Novachef. Bij aankoop ontving men een receptenboek van de kok. De mixer zit in de originele productverpakking met de gebruiksaanwijzing en het receptenboekje.;1960;1970;Nova;uitvoerder;Tongeren
2017-0335;Design Museum Gent;mixer;Novamix III type MR;Elektrische staafmixer in grijs met snijschroef. Deze mixer was op hetzelfde moment op de markt als de Novamix II en de Novachef.;1960;1969;Nova;uitvoerder;Tongeren
2017-0336;Design Museum Gent;mixer;Type 40;Deze elektrische mixer in oranje en wit kan bevestigd worden op een passende oranje beker. Mogelijk is dit de Nova Minichef, een kleine mixer die voornamelijk bedoeld was om mayonaise te maken.;1973;"";Nova;uitvoerder;Tongeren
2017-0337;Design Museum Gent;wafelijzer;Wafelijzer op onderstel;Elektrisch wafelijzer voor het maken van dubbele wafels met verwisselbare bakvormen. Het toestel is bevestigd op een metalen onderstel en heeft een elektrische aansluiting op beide bakzijden. Het ijzer heeft een houten handvatje en de twee ronde schroeven boven- en onderaan om de bakplaten los te maken.;1945;1950;Nova;producent;Tongeren
2017-0338_0-4;Design Museum Gent;wafelijzer;Multiplex;Elektrisch wafelijzer voor het maken van dubbele wafels. Aan beide zijden zijn er twee metalen schroeven om de vormen los te maken en te vervangen. De schroeven zijn gedecoreerd met een 'N'. Het wafelijzer heeft een bijhorende schaal waarop het ijzer vast gemonteerd is, een vork en een zwarte stoffen elektrische kabel.  In dezelfde reeks verscheen ook het wafelijzer Uniplex, dat geschikt was voor het bakken van een enkele wafel.;1947;1949;Nova;producent;Luik (stad)
2017-0341;Design Museum Gent;wafelijzer;Unilex;Elektrisch wafelijzer met vaste vormen en twee handvaten voor het bakken van een enkele wafel van Nova. Het toestel heeft twee zwarte bakelieten handvaten en een metalen voet waarover het toestel kan gekeerd worden. Op beide bakzijden is een elektrische aansluiting. Het wafelijzer hoort in een reeks toestellen die Nova rond 1950 op de markt bracht bestaande uit de Multex, Unilex, Unex, Dulex en Gaufrex.;1950;1955;Nova;producent;Tongeren
2017-0345;Design Museum Gent;broodrooster;Toast'ormatic;Elektrische pop-up broodrooster met timer en een witte schakelknop van Nova, type TA. De behuizing bestaat uit metaal en zwart bakeliet en heeft een vernieuwende hoekige vormgeving. Het toestel werd geselecteerd door het Brussels Design Centre, dat tussen 1965 en 1985 het Belgisch industrieel design promootte.;1972;"";Nova;uitvoerder;Tongeren
2017-0348;Design Museum Gent;wafelijzer;Behuizing van een wafelijzer;Metalen behuizing van een Nova wafelijzer, vermoedelijk van model Duplex. Beide onderdelen zijn identiek.;1949;"";Nova;producent;Tongeren
2017-0349;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met kleine piramidevormen;"";"";"";Nova;producent;Tongeren
2017-0350;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0351;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met madeleinvormen;"";"";"";Nova;producent;Tongeren
2017-0352;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0353;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met grote trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0354;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0355;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0356;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met kleine trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0357;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met kleine piramidevormen;"";"";"";Nova;producent;Tongeren
2017-0358;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0359;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met kleine piramidevormen;"";"";"";Nova;producent;Tongeren
2017-0360;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met grote trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0361;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met grote trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0362;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met kleine piramidevormen;"";"";"";Nova;producent;Tongeren
2017-0363;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met kleine trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0364;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met kleine trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0365;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met kleine trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0366;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met cirkelvormige mal;"";"";"";Nova;producent;Tongeren
2017-0367;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met grote trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0368;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met kleine trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0369;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met grote trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0370;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0371;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met kleine piramidevormen;"";"";"";Nova;producent;Tongeren
2017-0372;Design Museum Gent;wafelijzerbakplaat;Bakplaat voor wafelijzer met trapezevormen;"";"";"";Nova;producent;Tongeren
2017-0375;Design Museum Gent;wafelijzerbakplaat;Vier bakplaten voor wafelijzer in verpakking;2 x 2 wafelijzervormen met verschillende vormgroottes, verpakt in papier.;"";"";Nova;producent;Tongeren
2017-0383;Design Museum Gent;frituurpan;Fritex de Luxe;Elektrische frietketel met oranje omhulsel en zwart plastic voor het deksel en de handgrepen, type 292 van Nova. Het toestel heeft een anti-reuksysteem met een permanente en afwasbare filter. De vernieuwde en multifunctionele handgreep dient om de mand onder te dompelen, op te hangen en op te schudden zonder het deksel te openen. Het kijkvenster zorgt voor een dubbele veiligheid.;1979;"";Nova;uitvoerder;Tongeren
2017-0384;Design Museum Gent;wafelijzer;Multex;Elektrisch wafelijzer voor het bakken van dubbele wafels met vaste bakvormen van Nova. Het toestel heeft twee zwarte bakelieten handvaten en een zwarte bakelieten voet waarover het toestel kan gekeerd worden. Op beide bakzijden is een elektrische aansluiting. Het wafelijzer hoort in een reeks toestellen die Nova rond 1950 op de markt bracht bestaande uit de Multex, Unilex, Unex, Dulex en Gaufrex.;1950;1955;Nova;producent;Tongeren
2017-0386_0-2;Design Museum Gent;wafelijzer;Wafelijzer zonder onderhelft;Elektrisch wafelijzer met dubbele vormen. De onderhelft ontbreekt, alsook de handvaten.;"";"";Nova;producent;""
2017-0387;Design Museum Gent;wafelijzeronderdeel;Zwarte voet van wafelijzer;Zwart kunststof steunelement voor een wafelijzer waarover het kon gekeerd worden. Bijhorend een zakje met Nova-naamplaatjes die bevestigd dienden te worden op de toestellen.;"";"";Nova;producent;Tongeren
2017-0389;Design Museum Gent;wafelijzer;Multex 2;Elektrisch wafelijzer voor dubbele wafels met inox behuizing en bakelieten handvaten en voet, type 228 van Nova. Het toestel is omkeerbaar en heeft bovenaan een regelbare thermostaat en een controlelampje. Het werd geleverd met vier verschillende verwisselbare vormen met anti-aanbaklaag. De elektrische aansluiting bevindt zich op de centrale voet. Dit was het eerste wafelijzer van Nova met thermostaat. De vormgeving van dit toestel grijpt terug naar de jaren 1950 en moet de tijdloosheid, kwaliteit en degelijkheid van de Nova wafelijzers uitstralen.;1980;1980;Nova;producent;Tongeren
2017-0393;Design Museum Gent;verwarmingstoestel;Baby;Elektrische verwarmingsplaat in metaal met keramisch verwarmingselement. Neemt weinig plaats in op tafel.;1945;"";Nova;producent;Luik (stad)
